,coef,std err,z,P>|z|,[0.025,0.975]
9-11th grade (includes 12th but no diploma),0.0332,0.198,0.168,0.867,-0.354,0.421
College graduate or above,-0.0854,0.149,-0.572,0.567,-0.378,0.207
High school graduate / GED or equivalent,0.1049,0.154,0.68,0.496,-0.197,0.407
Less than 9th grade,-0.0494,0.23,-0.215,0.83,-0.5,0.402
Female,-0.325,0.198,-1.64,0.101,-0.713,0.063
Male,-0.2861,0.207,-1.382,0.167,-0.692,0.119
LBXTR,1.3884,0.132,10.525,0.0,1.13,1.647
RIDAGEYR,0.0229,0.003,6.628,0.0,0.016,0.03
URXUCR,0.1949,0.06,3.272,0.001,0.078,0.312
URXUMS,0.0649,0.076,0.853,0.393,-0.084,0.214
